Population size,"30,275",Ancestral population size
Population size,"53,856",Pop. size during 1st time interval
Population size,"76,905",Pop. size during 2nd time interval
Population size,"67,505",Pop. size during 3rd time interval
Population size,"75,739",Pop. size during 4th time interval
Population size,"77,971",Pop. size during 5th time interval
Population size,"78,608",Pop. size during 6th time interval
Population size,"63,277",Pop. size during 7th time interval
Population size,"51,777",Pop. size during 8th time interval
Population size,"33,713",Pop. size during 9th time interval
Population size,"22,549",Pop. size during 10th time interval
Population size,"13,960",Pop. size during 11th time interval
Population size,"13,460",Pop. size during 12th time interval
Population size,"10,474",Pop. size during 13th time interval
Population size,"8,106",Pop. size during 14th time interval
Population size,"5,766",Pop. size during 15th time interval
Population size,"3,704",Pop. size during 16th time interval
Population size,"1,640",Pop. size during 17th time interval
Population size,"947",Pop. size during 18th time interval
Population size,"561",Pop. size during 19th time interval
Population size,"388",Pop. size during 20th time interval
Time (gen.),"129,999",Begining of 1st time interval
Time (gen.),"83,043",Begining of 2nd time interval
Time (gen.),"53,045",Begining of 3rd time interval
Time (gen.),"33,881",Begining of 4th time interval
Time (gen.),"21,638",Begining of 5th time interval
Time (gen.),"13,817",Begining of 6th time interval
Time (gen.),"8,821",Begining of 7th time interval
Time (gen.),"5,629",Begining of 8th time interval
Time (gen.),"3,590",Begining of 9th time interval
Time (gen.),"2,287",Begining of 10th time interval
Time (gen.),"1,455",Begining of 11th time interval
Time (gen.),"923",Begining of 12th time interval
Time (gen.),"584",Begining of 13th time interval
Time (gen.),"367",Begining of 14th time interval
Time (gen.),"228",Begining of 15th time interval
Time (gen.),"139",Begining of 16th time interval
Time (gen.),"83",Begining of 17th time interval
Time (gen.),"47",Begining of 18th time interval
Time (gen.),"24",Begining of 19th time interval
Time (gen.),"9",Begining of 20th time interval
Generation time (yrs.),5,Generation time
Mutation rate,1e-8,Per-base per-generation mutation rate
Recombination rate,4.58e-9,Per-base per-generation recombination rate
